time,e1,e2,e3,z1,z2,z3,x,y,h
0.05000000000000071,0.36430309204759936,0.034748724536010744,0.03474872453601119,4.364303092047599,3.6403,3.6403000000000003,1.908843994140625,4.908843994140625,1.908843994140625
0.14999999999999858,0.3332252393239763,0.037758724536010924,0.03775872453601048,4.333225239323976,3.64331,3.6433099999999996,1.913909912109375,4.913909912109375,1.913909912109375
0.1999999999999993,0.31796165102926466,0.03696872453601108,0.03696872453601108,4.317961651029265,3.64252,3.64252,1.924774169921875,4.924774169921875,1.924774169921875
0.25,0.33841914783325144,0.037828724536010494,0.03782872453601005,4.338419147833251,3.6433799999999996,3.643379999999999,1.931854248046875,4.931854248046875,1.931854248046875
0.3000000000000007,0.3388597318746358,0.03819872453601025,0.0381987245360107,4.338859731874636,3.6437499999999994,3.64375,1.947967529296875,4.947967529296875,1.947967529296875
0.34999999999999787,0.33481148650064174,0.04339872453601057,0.04339872453601057,4.334811486500642,3.6489499999999997,3.6489499999999997,1.95831298828125,4.95831298828125,1.95831298828125
0.3999999999999986,0.3580120015584196,0.045688724536010916,0.045688724536010916,4.35801200155842,3.65124,3.65124,1.97381591796875,4.97381591796875,1.97381591796875
0.4499999999999993,0.4100928061617166,0.0558987245360103,0.05589872453601075,4.410092806161717,3.6614499999999994,3.66145,1.98089599609375,4.98089599609375,1.98089599609375
0.5,0.40501544508967413,0.06357872453601132,0.06357872453601132,4.405015445089674,3.6691300000000004,3.6691300000000004,1.994293212890625,4.994293212890625,1.994293212890625
0.5500000000000007,0.4118106219897033,0.06923872453601065,0.06923872453601065,4.411810621989703,3.67479,3.67479,2.000732421875,5.000732421875,2.000732421875
0.5999999999999979,0.3965165827884336,0.07794872453601132,0.07794872453601132,4.396516582788434,3.6835000000000004,3.6835000000000004,2.014495849609375,5.014495849609375,2.014495849609375
0.6999999999999993,0.3650951289918343,0.08548872453601097,0.08548872453601142,4.365095128991834,3.69104,3.6910400000000005,2.032073974609375,5.032073974609375,2.032073974609375
0.8000000000000007,0.3551155789401097,0.09025872453601069,0.09025872453601069,4.35511557894011,3.69581,3.69581,2.050872802734375,5.050872802734375,2.050872802734375
0.8499999999999979,0.33123489596506595,0.09036872453601097,0.09036872453601053,4.331234895965066,3.69592,3.6959199999999996,2.057037353515625,5.057037353515625,2.057037353515625
0.8999999999999986,0.24837352748949648,0.09877872453601144,0.098778724536011,4.2483735274894965,3.7043300000000006,3.70433,2.06866455078125,5.06866455078125,2.06866455078125
0.9499999999999993,0.2531838497425918,0.09927872453601116,0.09927872453601072,4.253183849742592,3.7048300000000003,3.70483,2.073944091796875,5.073944091796875,2.073944091796875
1.0,0.258357650286162,0.1065587245360109,0.10655872453601045,4.258357650286162,3.71211,3.7121099999999996,2.084716796875,5.084716796875,2.084716796875
1.0500000000000007,0.22559935113818774,0.10206872453601079,0.10206872453601079,4.225599351138188,3.70762,3.70762,2.089019775390625,5.089019775390625,2.089019775390625
1.0999999999999979,0.20245444935066637,0.10231872453601065,0.10231872453601065,4.202454449350666,3.7078699999999998,3.7078699999999998,2.097076416015625,5.097076416015625,2.097076416015625
1.1499999999999986,0.18783483902579778,0.10165872453601077,0.10165872453601077,4.187834839025798,3.70721,3.70721,2.1007080078125,5.1007080078125,2.1007080078125
1.1999999999999993,0.14214195392875517,0.10388872453601072,0.10388872453600984,4.142141953928755,3.70944,3.709439999999999,2.109283447265625,5.109283447265625,2.109283447265625
1.25,0.1359662946153275,0.10316872453601089,0.10316872453601089,4.1359662946153275,3.70872,3.70872,2.113250732421875,5.113250732421875,2.113250732421875
1.3000000000000007,0.1695838368402427,0.10158872453601075,0.10158872453601031,4.169583836840243,3.70714,3.7071399999999994,2.1204833984375,5.1204833984375,2.1204833984375
1.3999999999999986,0.18507450289712946,0.10299872453601111,0.10299872453601067,4.1850745028971295,3.7085500000000002,3.70855,2.130462646484375,5.130462646484375,2.130462646484375
1.4499999999999993,0.1171096249896797,0.09684872453601079,0.09684872453601034,4.11710962498968,3.7024,3.7023999999999995,2.13311767578125,5.13311767578125,2.13311767578125
1.5500000000000007,0.1150009584443783,0.0920587245360105,0.09205872453601005,4.115000958444378,3.6976099999999996,3.697609999999999,2.140533447265625,5.140533447265625,2.140533447265625
1.6499999999999986,0.09905985276350204,0.08639872453601027,0.08639872453601072,4.099059852763502,3.6919499999999994,3.69195,2.147796630859375,5.147796630859375,2.147796630859375
1.6999999999999993,0.082124389308035,0.08175872453601096,0.08175872453601052,4.082124389308035,3.68731,3.6873099999999996,2.152069091796875,5.152069091796875,2.152069091796875
1.75,0.0685650246906011,0.07240872453601144,0.072408724536011,4.068565024690601,3.6779600000000006,3.67796,2.153900146484375,5.153900146484375,2.153900146484375
1.8000000000000007,0.07113578513250296,0.06893872453601047,0.06893872453601047,4.071135785132503,3.6744899999999996,3.6744899999999996,2.15753173828125,5.15753173828125,2.15753173828125
1.8999999999999986,0.01642846771348072,0.05808872453601088,0.05808872453601088,4.016428467713481,3.66364,3.66364,2.16156005859375,5.16156005859375,2.16156005859375
1.9499999999999993,-0.007643861906848848,0.05270872453601161,0.05270872453601161,3.992356138093151,3.6582600000000007,3.6582600000000007,2.16265869140625,5.16265869140625,2.16265869140625
2.0,-0.05269359588689326,0.050718724536011006,0.050718724536011006,3.9473064041131067,3.65627,3.65627,2.16558837890625,5.16558837890625,2.16558837890625
2.0500000000000007,-0.11513928209696767,0.03156872453601034,0.031568724536010784,3.8848607179030323,3.6371199999999995,3.63712,2.167266845703125,5.167266845703125,2.167266845703125
