time,e1,e2,e3,zd,theta,yaw_dot,x,y,h
0.047999999999994714,-0.9866912885192729,-0.09816127546398912,-0.09816127546398912,3.50739,-0.44401176170735746,0.2,1.984100341796875,1.984100341796875,1.984100341796875
0.14799999999999613,-0.9848505391997997,-0.0934412754639884,-0.09344127546398884,3.5121100000000003,-0.4436626958569586,0.2,1.9859619140625,1.9859619140625,1.9859619140625
0.19849999999999568,-0.972411067178983,-0.08799127546398866,-0.0879912754639891,3.51756,-0.44488442633335457,0.2,1.9876708984375,1.9876708984375,1.9876708984375
0.24799999999999756,-0.955755926443334,-0.08025127546398902,-0.08025127546398902,3.5253,-0.4464552226601495,0.2,1.99090576171875,1.99090576171875,1.99090576171875
0.2989999999999995,-0.9426079034537875,-0.0766012754639891,-0.0766012754639891,3.52895,-0.44802601898694444,0.2,1.993072509765625,1.993072509765625,1.993072509765625
0.35249999999999915,-0.9424905224446465,-0.07133127546398876,-0.07133127546398921,3.53422,-0.44732788728614664,0.2,1.99627685546875,1.99627685546875,1.99627685546875
0.39799999999999613,-0.9221278668066542,-0.06581127546398902,-0.06581127546398946,3.5397399999999997,-0.4497713482389387,0.2,1.998748779296875,1.998748779296875,1.998748779296875
0.4480000000000004,-0.9230196133835413,-0.0617112754639888,-0.0617112754639888,3.5438400000000003,-0.449073216538141,0.2,2.002685546875,2.002685546875,2.002685546875
0.49799999999999756,-0.8967815628380382,-0.05079127546398876,-0.05079127546398876,3.5547600000000004,-0.45169121041613247,0.2,2.004669189453125,2.004669189453125,2.004669189453125
0.5494999999999948,-0.860329679587831,-0.039791275463989084,-0.03979127546398953,3.56576,-0.4558800006209189,0.2,2.008880615234375,2.008880615234375,2.008880615234375
0.597999999999999,-0.8432440855261176,-0.03689127546398918,-0.03689127546398918,3.56866,-0.45814892864851153,0.2,2.01068115234375,2.01068115234375,2.01068115234375
0.6479999999999961,-0.8158074131922284,-0.02487127546398904,-0.024871275463989484,3.5806799999999996,-0.460766922526503,0.2,2.014251708984375,2.014251708984375,2.014251708984375
0.6980000000000004,-0.7884479424764241,-0.01930127546398941,-0.01930127546398941,3.58625,-0.4642575810304917,0.2,2.015899658203125,2.015899658203125,2.015899658203125
0.7979999999999947,-0.7640404393804552,-0.012071275463989117,-0.012071275463989561,3.59348,-0.4670501078336826,0.2,2.020660400390625,2.020660400390625,2.020660400390625
0.847999999999999,-0.7406574656054086,-0.007261275463988692,-0.007261275463988692,3.59829,-0.47001716756207296,0.2,2.022918701171875,2.022918701171875,2.022918701171875
0.8979999999999961,-0.7281505374339843,-0.0033512754639888342,-0.0033512754639892783,3.6022,-0.47141343096366845,0.2,2.02410888671875,2.02410888671875,2.02410888671875
0.9480000000000004,-0.7023327468077651,0.004078724536010991,0.004078724536010991,3.60963,-0.4743804906920588,0.2,2.02630615234375,2.02630615234375,2.02630615234375
0.9979999999999976,-0.6814266159632609,0.008548724536010965,0.008548724536010965,3.6141,-0.47699848457005023,0.2,2.02740478515625,2.02740478515625,2.02740478515625
1.0479999999999947,-0.6555794785475171,0.019568724536010773,0.019568724536010773,3.62512,-0.4794419455228423,0.2,2.029266357421875,2.029266357421875,2.029266357421875
1.1479999999999961,-0.6305075451180078,0.022408724536010727,0.022408724536010727,3.62796,-0.482932604026831,0.2,2.0325927734375,2.0325927734375,2.0325927734375
1.1980000000000004,-0.6220821740230593,0.025438724536011037,0.025438724536010593,3.6309899999999997,-0.48380526865282814,0.2,2.0338134765625,2.0338134765625,2.0338134765625
1.2979999999999947,-0.5966268152354535,0.026288724536010832,0.02628872453601039,3.63184,-0.4876449930072157,0.2,2.03668212890625,2.03668212890625,2.03668212890625
1.347999999999999,-0.591161249299716,0.0333187245360107,0.03331872453601026,3.63887,-0.4874704600820162,0.2,2.038055419921875,2.038055419921875,2.038055419921875
1.3979999999999961,-0.5790674489157124,0.04022872453601112,0.040228724536010674,3.6457800000000002,-0.4883431247080134,0.2,2.03875732421875,2.03875732421875,2.03875732421875
1.448999999999998,-0.5161252602375042,0.042748724536011196,0.042748724536011196,3.6483000000000003,-0.4977679026687828,0.2,2.03948974609375,2.03948974609375,2.03948974609375
1.4979999999999976,-0.5079141748117966,0.04197872453601148,0.041978724536011036,3.64753,-0.4991641660703783,0.2,2.039642333984375,2.039642333984375,2.039642333984375
1.5479999999999947,-0.46571847601939265,0.039468724536011024,0.03946872453601058,3.64502,-0.5061454830783556,0.2,2.040283203125,2.040283203125,2.040283203125
1.6479999999999961,-0.4517714941418616,0.04122872453601101,0.04122872453601101,3.64678,-0.5080653452555494,0.2,2.041259765625,2.041259765625,2.041259765625
1.6980000000000004,-0.45055388469972746,0.044768724536011106,0.044768724536011106,3.6503200000000002,-0.5077162794051505,0.2,2.041748046875,2.041748046875,2.041748046875
1.7479999999999976,-0.43931005134509116,0.047168724536011286,0.04716872453601084,3.65272,-0.509112542806746,0.2,2.04278564453125,2.04278564453125,2.04278564453125
1.7979999999999947,-0.41527373612070884,0.050128724536010694,0.050128724536010694,3.65568,-0.5124286683855351,0.2,2.04315185546875,2.04315185546875,2.04315185546875
1.847999999999999,-0.3788916030768217,0.05434872453601125,0.05434872453601125,3.6599,-0.5174901232163187,0.2,2.0439453125,2.0439453125,2.0439453125
1.8979999999999961,-0.36407409024647297,0.05362872453601053,0.053628724536010086,3.6591799999999997,-0.5199335841691107,0.2,2.044525146484375,2.044525146484375,2.044525146484375
1.9480000000000004,-0.3406240195698884,0.05603872453601122,0.05603872453601122,3.6615900000000003,-0.5232497097479,0.2,2.045654296875,2.045654296875,2.045654296875
